goos: darwin
goarch: arm64
pkg: github.com/jacobmarble/go-checksum-benchmark
BenchmarkChecksums_Cryptographic/md4-1B-12         	 5889849	       187.2 ns/op	     120 B/op	       3 allocs/op
BenchmarkChecksums_Cryptographic/md5-1B-12         	 9067844	       133.6 ns/op	     112 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha1-1B-12        	14888437	        81.69 ns/op	     136 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha256-1B-12      	14536137	        82.54 ns/op	     160 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha512-1B-12      	 2448440	       491.9 ns/op	     288 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha3-256-1B-12    	 2239578	       531.5 ns/op	     960 B/op	       4 allocs/op
BenchmarkChecksums_Cryptographic/sha3-512-1B-12    	 2383275	       501.9 ns/op	    1024 B/op	       4 allocs/op
BenchmarkChecksums_Cryptographic/sha512-224-1B-12  	 2477679	       484.4 ns/op	     256 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha512-256-1B-12  	 2484547	       489.6 ns/op	     256 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/siphash-1B-12     	22613455	        52.53 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake2b-256-1B-12 	 4858412	       247.3 ns/op	     416 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake2b-512-1B-12 	 4782339	       251.6 ns/op	     448 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake3-1B-12      	 1633563	       750.5 ns/op	   10944 B/op	       3 allocs/op
BenchmarkChecksums_Cryptographic/md4-1KB-12        	  770826	      1536 ns/op	     120 B/op	       3 allocs/op
BenchmarkChecksums_Cryptographic/md5-1KB-12        	  761044	      1564 ns/op	     112 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha1-1KB-12       	 2598510	       463.2 ns/op	     136 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha256-1KB-12     	 2541019	       471.8 ns/op	     160 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha512-1KB-12     	  337332	      3582 ns/op	     288 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha3-256-1KB-12   	  442724	      2730 ns/op	     960 B/op	       4 allocs/op
BenchmarkChecksums_Cryptographic/sha3-512-1KB-12   	  250040	      4842 ns/op	    1024 B/op	       4 allocs/op
BenchmarkChecksums_Cryptographic/sha512-224-1KB-12 	  338624	      3596 ns/op	     256 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha512-256-1KB-12 	  337491	      3570 ns/op	     256 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/siphash-1KB-12    	 2010120	       597.9 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake2b-256-1KB-12         	  893762	      1336 ns/op	     416 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake2b-512-1KB-12         	  908101	      1332 ns/op	     448 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake3-1KB-12              	  528222	      2052 ns/op	   10944 B/op	       3 allocs/op
BenchmarkChecksums_Cryptographic/md4-1MB-12                 	     860	   1404555 ns/op	     120 B/op	       3 allocs/op
BenchmarkChecksums_Cryptographic/md5-1MB-12                 	     822	   1471594 ns/op	     112 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha1-1MB-12                	    3016	    400164 ns/op	     136 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha256-1MB-12              	    2960	    404950 ns/op	     160 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha512-1MB-12              	     381	   3136056 ns/op	     288 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha3-256-1MB-12            	     494	   2456114 ns/op	     960 B/op	       4 allocs/op
BenchmarkChecksums_Cryptographic/sha3-512-1MB-12            	     262	   4516943 ns/op	    1024 B/op	       4 allocs/op
BenchmarkChecksums_Cryptographic/sha512-224-1MB-12          	     382	   3117614 ns/op	     256 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/sha512-256-1MB-12          	     384	   3130967 ns/op	     256 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/siphash-1MB-12             	    2112	    569228 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake2b-256-1MB-12         	     958	   1261414 ns/op	     416 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake2b-512-1MB-12         	     949	   1259070 ns/op	     448 B/op	       2 allocs/op
BenchmarkChecksums_Cryptographic/blake3-1MB-12              	     814	   1483334 ns/op	   10944 B/op	       3 allocs/op
BenchmarkChecksums_NonCryptographic/adler32-1B-12           	44427097	        27.08 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-ieee-1B-12        	35377965	        34.14 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-castagnoli-1B-12  	34701052	        35.21 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-koopman-1B-12     	  578175	      2029 ns/op	    1048 B/op	       3 allocs/op
BenchmarkChecksums_NonCryptographic/crc64-1B-12             	34831659	        34.50 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32-1B-12             	47076514	        26.51 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32a-1B-12            	48496032	        24.80 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64-1B-12             	46855095	        25.68 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64a-1B-12            	47468588	        25.17 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv128-1B-12            	41974797	        28.74 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv128a-1B-12           	42139578	        28.56 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxh3-1B-12              	39633772	        30.28 ns/op	      32 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxh3-128-1B-12          	33433245	        35.68 ns/op	      48 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-cespare-1B-12    	33972598	        35.04 ns/op	      88 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-32-1B-12         	37197240	        32.34 ns/op	      56 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-oneofone-64-1B-12         	32305682	        37.95 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-32-1B-12          	28899674	        42.07 ns/op	      72 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/xxhash-pierrec-64-1B-12          	22518700	        53.60 ns/op	     104 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/adler32-1KB-12                   	 3431875	       345.3 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-ieee-1KB-12                	 8548964	       140.3 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-castagnoli-1KB-12          	 8573198	       140.8 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/crc32-koopman-1KB-12             	  275385	      4386 ns/op	    1048 B/op	       3 allocs/op
BenchmarkChecksums_NonCryptographic/crc64-1KB-12                     	 1816447	       680.4 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32-1KB-12                     	  984338	      1208 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv32a-1KB-12                    	  989716	      1202 ns/op	      16 B/op	       2 allocs/op
BenchmarkChecksums_NonCryptographic/fnv64-1KB-12                     	  997246	      1203 ns/op	      16 B/op	       2 allocs/op
