goos: linux
goarch: amd64
pkg: github.com/jacobmarble/go-checksum-benchmark
cpu: Intel(R) Xeon(R) CPU E5-2670 0 @ 2.60GHz
BenchmarkChecksums/md4-8Bytes-32         	18428851	       652.4 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8Bytes-32         	49043869	       249.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8Bytes-32        	33093849	       356.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8Bytes-32      	17999386	       672.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-8Bytes-32      	17889778	       672.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha384-8Bytes-32      	14051329	       865.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8Bytes-32      	13380580	       890.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8Bytes-32    	 6559099	      1884 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8Bytes-32    	 6202123	      1880 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8Bytes-32    	 6354789	      1881 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8Bytes-32    	 6228554	      1962 ns/op	     576 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8Bytes-32  	14205848	       827.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8Bytes-32  	14284762	       843.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8Bytes-32     	169309006	        70.88 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8Bytes-32  	137523915	        87.26 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8Bytes-32         	170950083	        70.02 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8Bytes-32            	151082779	        79.02 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8Bytes-32                    	149670542	        80.13 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8Bytes-32                    	182266521	        65.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8Bytes-32                   	181599644	        66.47 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8Bytes-32                    	186824648	        63.81 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8Bytes-32                   	187025548	        63.90 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8Bytes-32                     	231547923	        52.42 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8Bytes-32                 	160182319	        74.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8Bytes-32           	156290935	        76.89 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8Bytes-32       	150147328	        79.19 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8Bytes-32       	156531962	        76.14 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8Bytes-32        	143326035	        84.40 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8Bytes-32        	135124794	        88.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/md4-256Bytes-32                    	18152787	       658.8 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-256Bytes-32                    	48184966	       252.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-256Bytes-32                   	33072298	       355.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-256Bytes-32                 	17373586	       680.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha256-256Bytes-32                 	17677752	       678.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha384-256Bytes-32                 	13891050	       867.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256Bytes-32                 	13603240	       893.0 ns/op	      64 B/op	       1 allocs/op
