goos: linux
goarch: arm
pkg: github.com/jacobmarble/go-checksum-benchmark
BenchmarkChecksums/md4-8Bytes-4         	 1695724	      7022 ns/op	      24 B/op	       2 allocs/op
BenchmarkChecksums/md5-8Bytes-4         	 4446483	      2706 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/sha1-8Bytes-4        	 3096138	      3852 ns/op	      24 B/op	       1 allocs/op
BenchmarkChecksums/sha224-8Bytes-4      	 1000000	     10533 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha256-8Bytes-4      	 1000000	     10502 ns/op	     208 B/op	       3 allocs/op
BenchmarkChecksums/sha384-8Bytes-4      	  431348	     27786 ns/op	      48 B/op	       1 allocs/op
BenchmarkChecksums/sha512-8Bytes-4      	  419989	     28862 ns/op	      64 B/op	       1 allocs/op
BenchmarkChecksums/sha3-224-8Bytes-4    	  421078	     28370 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-256-8Bytes-4    	  423046	     28317 ns/op	     480 B/op	       3 allocs/op
BenchmarkChecksums/sha3-384-8Bytes-4    	  423573	     27889 ns/op	     512 B/op	       3 allocs/op
BenchmarkChecksums/sha3-512-8Bytes-4    	  443691	     27186 ns/op	     544 B/op	       3 allocs/op
BenchmarkChecksums/sha512-224-8Bytes-4  	  418755	     27842 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/sha512-256-8Bytes-4  	  418676	     27762 ns/op	      32 B/op	       1 allocs/op
BenchmarkChecksums/adler32-8Bytes-4     	15910842	       756.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-ieee-8Bytes-4  	12505924	       956.8 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-castagnoli-8Bytes-4         	12465974	       968.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc32-koopman-8Bytes-4            	13902948	       862.1 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/crc64-8Bytes-4                    	11644682	      1039 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32-8Bytes-4                    	17827418	       689.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv32a-8Bytes-4                   	17240988	       690.6 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64-8Bytes-4                    	16771590	       720.5 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/fnv64a-8Bytes-4                   	16401178	       734.2 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-8Bytes-4                     	18230696	       663.4 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxh3-128-8Bytes-4                 	11619136	      1019 ns/op	      16 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-cespare-8Bytes-4           	11760240	      1008 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-32-8Bytes-4       	12922255	       933.0 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-oneofone-64-8Bytes-4       	12215356	       976.7 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-32-8Bytes-4        	11514500	      1046 ns/op	       8 B/op	       1 allocs/op
BenchmarkChecksums/xxhash-pierrec-64-8Bytes-4        	 9866736	      1221 ns/op	       8 B/op	       1 allocs/op
